名字,导演,主演,年份,国家,类型,评分
肖申克的救赎,弗兰克·德拉邦特,蒂姆·罗宾斯,1994,美国,犯罪 剧情,9.6
霸王别姬,陈凯歌,张国荣,1993,中国大陆 香港,剧情 爱情 同性,9.5
这个杀手不太冷,吕克·贝松,让·雷诺,1994,法国,剧情 动作 犯罪,9.4
阿甘正传,Robert,Tom,1994,美国,剧情 爱情,9.4
美丽人生,罗伯托·贝尼尼,罗伯托·贝尼尼,1997,意大利,剧情 喜剧 爱情 战争,9.5
千与千寻,宫崎骏,柊瑠美,2001,日本,剧情 动画 奇幻,9.2
辛德勒的名单,史蒂文·斯皮尔伯格,连姆·尼森,1993,美国,剧情 历史 战争,9.4
泰坦尼克号,詹姆斯·卡梅隆,莱昂纳多·迪卡普里奥,1997,美国,剧情 爱情 灾难,9.2
盗梦空间,克里斯托弗·诺兰,莱昂纳多·迪卡普里奥,2010,美国 英国,剧情 动作 科幻 悬疑 冒险,9.3
机器人总动员,安德鲁·斯坦顿,本·贝尔特,2008,美国,喜剧 爱情 科幻 动画 冒险,9.3
海上钢琴师,朱塞佩·托纳多雷,蒂姆·罗斯,1998,意大利,剧情 音乐,9.2
三傻大闹宝莱坞,拉库马·希拉尼,阿米尔·汗,2009,印度,剧情 喜剧 爱情 歌舞,9.1
忠犬八公的故事,莱塞·霍尔斯道姆,理查·基尔,2009,美国 英国,剧情,9.2
放牛班的春天,克里斯托夫·巴拉蒂,杰拉尔·朱诺,2004,法国 瑞士 德国,剧情 音乐,9.2
大话西游之大圣娶亲,刘镇伟,周星驰,1995,香港 中国大陆,喜剧 爱情 奇幻 冒险,9.2
教父,弗朗西斯·福特·科波拉,马龙·白兰度,1972,美国,剧情 犯罪,9.2
龙猫,宫崎骏,日高法子,1988,日本,儿童 动画 奇幻 家庭,9.1
楚门的世界,彼得·威尔,金·凯瑞,1998,美国,剧情 科幻,9.1
乱世佳人,维克多·弗莱明,托...,1939,美国,剧情 历史 爱情 战争,9.2
熔炉,黄东赫,孔侑,2011,韩国,剧情,9.2
触不可及,奥利维·那卡什,,2011,法国,剧情 喜剧,9.1
天堂电影院,朱塞佩·托纳多雷,安东娜拉·塔莉,1988,意大利 法国,剧情 爱情,9.1
当幸福来敲门,加布里尔·穆奇诺,威尔·史密斯,2006,美国,剧情 传记 家庭,8.9
无间道,刘伟强,刘德华,2002,香港,剧情 犯罪 悬疑,9
星际穿越,克里斯托弗·诺兰,马修·麦康纳,2014,美国 英国 加拿大 冰岛,剧情 科幻 冒险,9.1
怦然心动,罗伯·莱纳,玛德琳·卡罗尔,2010,美国,剧情 喜剧 爱情,8.9
十二怒汉,Sidney,亨利·方达,1957,美国,剧情,9.4
搏击俱乐部,大卫·芬奇,爱德华·诺顿,1999,美国 德国,剧情 动作 悬疑 惊悚,9
